alpha,ld_corrected
-5.000000,-52.454194
-4.850000,-48.726740
-4.700000,-44.876473
-4.550000,-40.962566
-4.400000,-36.921890
-4.250000,-32.857293
-4.100000,-28.797713
-3.950000,-24.697005
-3.800000,-20.451334
-3.650000,-16.107975
-3.500000,-11.651944
-3.350000,-7.142982
-3.200000,-2.543935
-3.050000,2.108534
-2.900000,6.855437
-2.750000,11.650466
-2.600000,16.471104
-2.450000,21.384562
-2.300000,26.398803
-2.150000,31.488305
-2.000000,36.516716
-1.850000,41.476740
-1.700000,46.631819
-1.550000,52.001704
-1.400000,57.286899
-1.250000,62.392069
-1.100000,67.749936
-0.950000,73.629928
-0.650000,87.155571
-0.500000,94.144933
-0.350000,103.435901
-0.200000,113.224062
-0.050000,122.791177
0.100000,134.212607
0.250000,143.412962
0.400000,150.373401
0.550000,154.179605
0.700000,155.855201
0.850000,152.125766
1.000000,146.116879
1.150000,140.855103
1.300000,137.687828
1.450000,136.948502
1.600000,133.242901
1.900000,131.542389
2.050000,132.449424
2.200000,132.871916
2.350000,133.930749
2.500000,136.220080
2.650000,138.484465
2.800000,140.703433
2.950000,143.102330
3.100000,145.644952
3.250000,147.758819
3.400000,149.790777
3.550000,151.122133
3.700000,152.849025
3.850000,154.558805
4.000000,155.987251
4.150000,157.157962
4.300000,158.744741
4.450000,160.076064
4.600000,161.174216
4.750000,162.428458
4.900000,163.453880
5.050000,164.454413
5.200000,165.215092
5.350000,165.955989
5.500000,166.677866
5.650000,167.154742
5.800000,167.428582
5.950000,167.677916
6.100000,168.137913
6.250000,168.569778
6.400000,168.990510
6.550000,169.760577
6.700000,170.156602
6.850000,170.542778
7.000000,171.079413
7.150000,171.430397
7.300000,171.400531
7.450000,171.356908
7.600000,171.148307
7.750000,170.931527
7.900000,170.706916
8.050000,170.158520
8.200000,169.445352
8.350000,168.590595
8.500000,167.282745
8.650000,165.532172
8.800000,165.080241
8.950000,164.341569
9.100000,163.748339
9.250000,163.172416
9.400000,162.601222
9.550000,162.173915
9.700000,161.210399
9.850000,160.400099
10.000000,159.569619
10.150000,158.261903
10.300000,156.718533
10.450000,155.100858
10.600000,153.513110
10.750000,151.986686
11.200000,146.459845
11.350000,144.057374
11.500000,141.460767
11.650000,139.057070
11.800000,136.582003
11.950000,134.453654
12.100000,132.273048
12.250000,130.008262
12.400000,127.551275
12.550000,124.988128
12.700000,122.400387
12.850000,119.693544
13.000000,116.927286
13.150000,113.957753
13.300000,111.155671
13.450000,107.957717
13.600000,104.962631
13.750000,101.717990
13.900000,98.683183
14.050000,95.158081
14.200000,91.936887
14.350000,88.757007
14.500000,85.070221
14.650000,82.245623
14.800000,78.734554
14.950000,75.113136
15.100000,72.021827
15.250000,68.646973
15.400000,65.262872
15.550000,62.148032
15.700000,58.982899
15.850000,55.741901
16.000000,52.684495
16.150000,49.596750
16.300000,46.774960
16.450000,43.916804
16.600000,41.461324
16.750000,38.745919
16.900000,36.124903
17.050000,33.826050
17.200000,31.666568
17.350000,29.689424
17.500000,27.824354
17.650000,25.897875
17.800000,24.188190
17.950000,22.582527
18.100000,21.028656
18.250000,19.624232
18.400000,18.293427
18.550000,16.984174
18.700000,15.742226
18.850000,14.255444
