flight_condition,blade_section,clcd_max,cl_at_opt,cd_at_opt
climb,mid_span,106.684322,1.007100,0.009440
climb,root,93.658310,1.008700,0.010770
climb,tip,118.440367,1.161900,0.009810
cruise,mid_span,102.284866,1.034100,0.010110
cruise,root,89.046243,0.924300,0.010380
cruise,tip,112.203883,1.155700,0.010300
descent,mid_span,104.631685,1.036900,0.009910
descent,root,91.346863,0.990200,0.010840
descent,tip,115.728745,1.143400,0.009880
takeoff,mid_span,110.183930,1.138200,0.010330
takeoff,root,96.663534,1.028500,0.010640
takeoff,tip,121.060291,1.164600,0.009620
