condition,section,Re,alpha_opt,CL_CD_max
climb,mid_span,4000000.000000,5.950000,106.684322
climb,root,2200000.000000,6.100000,93.658310
climb,tip,6200000.000000,7.300000,118.440367
cruise,mid_span,3200000.000000,6.250000,102.284866
cruise,root,1800000.000000,5.350000,89.046243
cruise,tip,5000000.000000,7.300000,112.203883
descent,mid_span,3600000.000000,6.250000,104.631685
descent,root,2000000.000000,5.950000,91.346863
descent,tip,5600000.000000,7.150000,115.728745
takeoff,mid_span,4500000.000000,7.150000,110.183930
takeoff,root,2500000.000000,6.250000,96.663534
takeoff,tip,7000000.000000,7.300000,121.060291
